uid,name,institute,pref,urban,capa,dev,enroll,over_rate
60,旭川医科大学,1,1,地方,972,68.605,172,1.047
40,小樽商科大学,1,1,地方,2060,54.77,515,1.115
50,帯広畜産大学,1,1,地方,1100,52.185,250,1.1159999999999999
70,北見工業大学,1,1,地方,1660,46.033,410,1.756
10,北海道大学,1,1,地方,10582,67.22800000000001,2485,1.056
20,北海道教育大学,1,1,地方,4815,51.48,1185,1.1
30,室蘭工業大学,1,1,地方,2480,45.562,600,1.27
80,弘前大学,1,2,地方,5894,55.967,1382,1.085
90,岩手大学,1,3,地方,4430,52.29600000000001,1075,1.1340000000000001
100,東北大学,1,4,地方,9994,66.33800000000001,2396,1.0979999999999999
110,宮城教育大学,1,4,地方,1380,54.312,345,1.11
120,秋田大学,1,5,地方,4185,54.025,953,1.1540000000000001
130,山形大学,1,6,地方,7035,52.608999999999995,1685,1.135
140,福島大学,1,7,地方,3840,52.055,945,1.158
150,茨城大学,1,8,地方,6410,52.715,1570,1.261
160,筑波大学,1,8,地方,8698,63.528999999999996,2088,1.117
165,筑波技術大学,1,8,地方,360,40.693000000000005,90,0.978
180,宇都宮大学,1,9,地方,3760,51.998000000000005,910,1.198
190,群馬大学,1,10,地方,4784,55.231,1098,1.127
200,埼玉大学,1,11,地方,6570,56.998999999999995,1620,1.33
210,千葉大学,1,12,都市圏,9859,61.218,2282,1.166
310,お茶の水女子大学,1,13,都市圏,1868,65.67699999999999,452,1.168
320,電気通信大学,1,13,都市圏,3226,56.739,790,1.1059999999999999
220,東京大学,1,13,都市圏,12586,78.195,3063,1.015
230,東京医科歯科大学,1,13,都市圏,1444,72.84899999999999,276,1.123
240,東京外国語大学,1,13,都市圏,3040,67.908,745,1.217
245,東京海洋大学,1,13,都市圏,1800,55.76,450,1.111
250,東京学芸大学,1,13,都市圏,4260,61.39,1065,1.1440000000000001
270,東京藝術大学,1,13,都市圏,1908,61.448,477,1.036
280,東京工業大学,1,13,都市圏,4332,70.464,1068,1.08
260,東京農工大学,1,13,都市圏,3424,60.04,821,1.149
